24 S 1354	
541054.9874	8570546.058
541055.9212	8570544.755
541056.7678	8570543.394
541057.5236	8570541.98
541058.1852	8570540.519
541058.75	8570539.019
541059.2154	8570537.485
541059.5794	8570535.923
541059.8406	8570534.342
541059.9977	8570532.746
541060.0502	8570531.144
541059.9977	8570529.541
541059.8406	8570527.946
541059.5794	8570526.364
541059.2154	8570524.803
541058.75	8570523.268
541058.1852	8570521.768
541057.9472	8570521.213
541046.5258	8570495.454
541046.1022	8570494.549
541045.8561	8570494.064
541009.4133	8570424.126
540986.8019	8570379.777
540986.7551	8570379.686
540939.5076	8570287.97
540883.62	8570178.72
540826.1509	8570066.027
540826.0738	8570065.877
540787.6741	8569991.841
540764.0376	8569945.544
540764.001	8569945.473
540742.2169	8569903.147
540725.6601	8569870.742
540725.5076	8569870.449
540704.371	8569830.424
540703.9239	8569829.614
540703.8548	8569829.495
540682.1646	8569792.41
540681.3871	8569791.167
540680.4533	8569789.864
540680.3702	8569789.756
540663.599	8569768.149
540663.0104	8569767.42
540640.899	8569741.077
540640.5536	8569740.675
540639.4777	8569739.525
540624.914	8569724.927
540624.8939	8569724.907
540623.7238	8569723.811
540623.5672	8569723.675
540595.8936	8569699.818
540595.2139	8569699.253
540565.279	8569675.272
540564.8759	8569674.956
540564.2242	8569674.473
540532.6779	8569651.886
540465.2956	8569601.924
540465.0979	8569601.778
540410.9759	8569562.482
540346.1875	8569515.18
540305.4639	8569485.298
540268.8784	8569458.431
540233.3336	8569432.155
540198.1811	8569405.959
540198.0041	8569405.828
540150.7846	8569371.295
540105.4757	8569337.7
540070.1089	8569308.606
540045.819	8569282.163
540032.2577	8569263.737
540025.1201	8569253.037
540012.0105	8569226.496
539997.2376	8569174.426
539991.111	8569109.857
539990.307	8569095.954
539984.0078	8568987.029
539984.0049	8568986.979
539980.481	8568928.158
539972.7425	8568771.987
539972.084	8568758.236
539980.8516	8568756.291
539985.6394	8568755.229
539999.0005	8568751.453
540012.1238	8568746.918
540024.9662	8568741.64
540037.4857	8568735.636
540049.6412	8568728.926
540061.3931	8568721.532
540072.7027	8568713.477
540083.5331	8568704.789
540093.8488	8568695.495
540103.616	8568685.627
540112.8028	8568675.216
540121.379	8568664.296
540129.3166	8568652.904
540136.5896	8568641.077
540143.1741	8568628.853
540149.0487	8568616.272
540154.194	8568603.376
540158.5932	8568590.207
540162.232	8568576.807
540165.0984	8568563.222
540167.1829	8568549.495
540168.4789	8568535.67
540168.982	8568521.795
540168.6906	8568507.913
540167.6057	8568494.071
540165.7308	8568480.314
540163.072	8568466.686
540159.638	8568453.233
540155.4402	8568439.998
540155.1503	8568439.238
540150.4922	8568427.025
540144.8103	8568414.356
540138.413	8568402.033
540131.3212	8568390.096
540123.5584	8568378.584
540115.1497	8568367.535
540106.1228	8568356.985
540096.5073	8568346.969
540086.3346	8568337.519
540075.638	8568328.666
540064.4525	8568320.44
